student id,student name,student last name,grade,associated client id
530222,Casey,Palacios,10,33193
530223,Cory,Ahmed,9,33196
530224,Anahi,Cooper,6,33168
530225,Melissa,Wilkerson,5,33153
530226,Gaven,Vega,4,33127
530227,Draven,Evans,1,33113
530228,Griffin,Manning,12,33186
530229,Brandon,Cook,5,33174
530230,Macey,Lugo,1,33116
530231,Jadiel,Matthews,9,33182
530232,Allan,Walters,4,33183
530233,Cade,Cooper,6,33168
530234,Kamron,Neal,12,33177
530235,Bryson,Pugh,1,33207
530236,Kaitlynn,Burnett,11,33134
530237,Payten,Ho,10,33119
530238,Ashlyn,Haynes,1,33152
530239,Leticia,Love,1,33203
530240,Emilee,Phillips,1,33130
530241,Callie,Flynn,7,33140
530242,Oliver,Banks,12,33164
530243,Marisa,Phillips,8,33130
530244,Caitlyn,Ware,8,33194
530245,Jaiden,Palacios,4,33193
530246,Chaz,Cook,8,33174
530247,Milo,Hunt,9,33142
530248,Stephen,Byrd,9,33165
530249,Morgan,Pace,12,33122
530250,Rebecca,Klein,8,33112
530251,Micaela,Walters,9,33183
530252,Amber,Ferguson,7,33149
530253,Kyla,Manning,6,33186
530254,Taniya,Richards,7,33137
530255,Lee,Mendoza,11,33135
530256,Hayley,Best,4,33133
530257,Jonathan,Best,3,33133
530258,Denzel,Medina,12,33179
530259,Aleena,Manning,5,33186
530260,Makai,Cabrera,12,33114
530261,Jacqueline,Brennan,10,33187
530262,Seamus,Ho,10,33119
530263,Jonah,Paul,2,33180
530264,Christine,Joseph,7,33208
530265,Ryder,Taylor,10,33138
530266,Deacon,Hahn,7,33202
530267,Izaiah,Vaughan,8,33118
530268,Kolten,Fuentes,1,33163
530269,Noe,Vincent,8,33128
530270,Harper,Dickerson,4,33190
530271,Tamara,Gaines,11,33206
530272,Maia,Miranda,5,33189
530273,Anne,Knapp,8,33120
530274,Isla,Bates,10,33175
530275,Chaya,Velasquez,9,33205
530276,Alfredo,Fischer,6,33148
530277,Logan,Lee,6,33150
530278,Brooke,Conway,1,33125
530279,Davin,Christian,7,33200
530280,Lorelei,Vincent,4,33128
